1,8.44
2,4.72
3,7.65
4,5.57
5,6.42
6,7.91
7,6.36
8,8.02
9,6.37
10,13.00
11,23.70
12,24.89
13,8.13
14,24.42
15,10.94
16,5.08
17,20.86
18,20.76
19,6.90
20,21.87
21,19.69
22,20.34
23,22.23
24,24.01
25,25.71
26,22.67
27,21.52
28,20.98
29,8.32
30,23.20
31,24.34
32,18.94
33,10.39
34,20.03
35,23.60
36,21.13
37,19.71
38,26.68
39,26.38
40,13.20
41,10.17
42,17.86
43,7.80
44,29.02
45,17.67
46,9.33
47,29.22
48,28.70
49,19.32
50,29.84
51,6.56
52,25.65
53,23.50
54,25.10
55,28.53
56,28.92
57,26.24
58,22.99
59,9.78
60,8.12
61,20.81
62,33.91
63,9.47
64,9.35
65,28.11
66,30.97
67,8.48
68,31.22
69,25.21
70,25.49
71,22.23
72,30.53
73,11.56
74,34.28
75,30.00
76,20.21
77,32.54
78,19.57
79,36.23
80,28.98
81,13.13
82,6.86
83,28.48
84,33.41
85,10.15
86,25.37
87,11.84
88,10.58
89,24.85
90,37.32
91,25.25
92,25.03
93,10.74
94,31.45
95,10.87
96,17.95
97,29.85
98,17.92
99,6.53
100,13.07
101,18.83
102,2.47
103,35.36
104,26.84
105,14.88
106,6.60
107,19.64
108,11.16
109,9.05
110,13.47
111,6.65
112,10.45
113,14.29
114,14.93
115,18.04
116,15.77
117,18.43
118,15.78
119,13.42
120,16.17
121,14.47
122,15.21
123,13.54
124,13.71
125,13.82
126,13.80
127,14.81
128,11.84
129,14.52
130,11.79
131,15.90
132,11.81
133,13.93
134,10.28
135,11.45
136,6.76
137,9.53
138,12.40
139,12.72
140,9.59
141,7.66
142,10.35
143,6.86
144,11.67
145,8.86
146,13.51
147,7.89
148,16.55
149,7.65
150,17.28
151,14.30
152,7.26
153,13.70
154,7.16
155,25.78
156,3.66
157,4.79
158,2.39
159,2.31
160,1.89
161,6.04
162,11.38
163,81.79
164,34.02
165,34.71
166,6.24
167,16.84
168,13.75
169,20.63
170,41.08
171,30.41
172,17.73
173,7.94
174,10.76
175,16.74
176,5.77
177,51.17
178,46.70
179,39.59
180,56.49
181,53.22
182,12.73
183,34.80
184,74.68
185,24.98
186,39.47
187,24.52
188,26.55
189,20.01
190,24.72
191,15.61
192,28.81
193,13.83
194,50.87
195,16.50
196,48.92
197,51.75
198,34.97
199,66.28
200,62.16
201,57.00
202,36.52
203,19.65
204,23.02
205,85.28
206,10.64
207,15.73
208,15.63
209,12.71
210,13.31
211,12.33
212,22.50
213,23.57
214,8.42
215,20.98
216,26.04
217,16.21
218,36.44
219,14.69
220,27.76
221,19.69
222,11.18
223,19.82
224,11.95
225,13.77
226,41.93
227,21.31
228,1.79
229,10.29
230,4.90
231,10.05
232,47.38
233,71.11
234,51.31
235,47.39
236,68.73
237,53.48
238,38.16
239,33.70
240,62.09
241,46.33
242,47.34
243,27.77
244,32.22
245,25.53
246,28.65
247,31.93
248,61.93
249,67.54
250,47.82
251,89.33
252,39.36
253,49.59
254,18.98
255,14.33
256,42.89
257,32.72
258,48.39
259,28.53
260,73.23
261,28.57
262,48.03
263,22.83
264,22.85
265,35.94
266,37.39
267,22.77
268,24.58
269,21.65
270,15.38
271,25.18
272,39.39
273,17.17
274,26.51
275,28.27
276,22.92
277,33.26
278,18.68
279,23.82
280,13.45
281,32.13
282,17.03
283,47.97
284,29.40
285,30.03
286,21.12
287,11.70
288,11.54
289,8.17
290,28.41
291,3.09
292,43.54
293,33.36
